Team/Country,Name,Discipline,Event,Total Gold,Total Silver,Total Bronze,Total Medals
Australia,HU Heming / TAPPER Melissa,Table Tennis,Mixed Doubles,17,7,22,46
Australia,Australia,Table Tennis,Women's Team,17,7,22,46
Austria,FEGERL Stefan / POLCANOVA Sofia,Table Tennis,Mixed Doubles,1,1,5,7
Austria,Austria,Table Tennis,Women's Team,1,1,5,7
Brazil,Brazil,Table Tennis,Men's Team,7,6,8,21
Brazil,Brazil,Table Tennis,Women's Team,7,6,8,21
Canada,WANG Zhen / ZHANG Mo,Table Tennis,Mixed Doubles,7,6,11,24
People's Republic of China,China,Table Tennis,Men's Team,38,32,18,88
People's Republic of China,XU Xin / LIU Shiwen,Table Tennis,Mixed Doubles,38,32,18,88
People's Republic of China,China,Table Tennis,Women's Team,38,32,18,88
Chinese Taipei,Chinese Taipei,Table Tennis,Men's Team,2,4,6,12
Chinese Taipei,LIN Yun Ju / CHENG I Ching,Table Tennis,Mixed Doubles,2,4,6,12
Chinese Taipei,Chinese Taipei,Table Tennis,Women's Team,2,4,6,12
Croatia,Croatia,Table Tennis,Men's Team,3,3,2,8
Cuba,CAMPOS Jorge / FONSECA Daniela,Table Tennis,Mixed Doubles,7,3,5,15
Egypt,Egypt,Table Tennis,Men's Team,1,1,4,6
Egypt,ASSAR Omar / MESHREF Dina,Table Tennis,Mixed Doubles,1,1,4,6
Egypt,Egypt,Table Tennis,Women's Team,1,1,4,6
France,France,Table Tennis,Men's Team,10,12,11,33
France,LEBESSON Emmanuel / YUAN Jia Nan,Table Tennis,Mixed Doubles,10,12,11,33
France,France,Table Tennis,Women's Team,10,12,11,33
Germany,Germany,Table Tennis,Men's Team,10,11,16,37
Germany,FRANZISKA Patrick / SOLJA Petrissa,Table Tennis,Mixed Doubles,10,11,16,37
Germany,Germany,Table Tennis,Women's Team,10,11,16,37
"Hong Kong, China","Hong Kong, China",Table Tennis,Men's Team,1,2,3,6
"Hong Kong, China",WONG Chun Ting / DOO Hoi Kem,Table Tennis,Mixed Doubles,1,2,3,6
"Hong Kong, China","Hong Kong, China",Table Tennis,Women's Team,1,2,3,6
Hungary,SZUDI Adam / PERGEL Szandra,Table Tennis,Mixed Doubles,6,7,7,20
Hungary,Hungary,Table Tennis,Women's Team,6,7,7,20
India,ACHANTA Kamal / BATRA Manika,Table Tennis,Mixed Doubles,1,2,4,7
Japan,Japan,Table Tennis,Men's Team,27,14,17,58
